Acceptance_Criterion_ID,Scenario_ID,Use_Case_ID,Function,Acceptance_Criterion
AC-OS-01-01,SC-G09,UC-OS-01,Order Status,"For an identified order, the answer provides the verified current shipment status and the estimated delivery date, tracking number, and carrier when those details are available in OMS."
AC-SH-01-01,SC-G08,UC-SH-01,Shipping,A general shipping question that does not refer to a specific order is answered using the applicable approved Shipping Policy without order-specific OMS processing.
AC-SH-02-01,SC-G10,UC-SH-02,Shipping,"For an identified order reported as not arrived as expected, if shipment_status is not DELIVERED, SC-G06 does not apply, estimated_delivery_date is available, and the current processing date is before or equal to estimated_delivery_date, the Copilot assigns ANSWER through SC-G10 and combines the verified shipment information with the applicable approved Shipping Policy information that the shipment is still within its current expected delivery window. The Copilot does not invent a delay cause, replacement delivery date, or remedy."
AC-SH-02-02,SC-G07,UC-SH-02,Shipping,"For an identified order reported as not arrived as expected, if shipment_status is not DELIVERED, estimated_delivery_date is available, and the current processing date is after estimated_delivery_date, the Copilot assigns ESCALATE through SC-G07 because the Shipping Policy requires delivery investigation. The escalation includes the relevant customer-request information, verified OMS shipment information, and applicable approved Shipping Policy information, and the Copilot does not claim that the investigation has already been performed."
AC-SH-02-03,SC-G05,UC-SH-02,Shipping,"For an identified order reported as not arrived as expected, if shipment_status is not DELIVERED, SC-G06 does not apply, and estimated_delivery_date is unavailable, the Copilot treats the information required to evaluate the delivery delay as insufficient and assigns ESCALATE through SC-G05. The general 3-business-day delivery target is not used as a substitute for the missing estimated_delivery_date."
AC-SH-02-04,SC-G06,UC-SH-02,Shipping,"If the request is identified as UC-SH-02 and OMS confirms shipment_status = DELIVERED while the customer reports non-arrival, the identified Use Case remains UC-SH-02 and the request is handled through SC-G06 regardless of whether estimated_delivery_date is available."
AC-SH-03-01,SC-G06,UC-SH-03,Shipping,"A request is identified as UC-SH-03 from the Customer Request when the customer reports that a specific parcel is shown as delivered but was not received. If OMS subsequently confirms shipment_status DELIVERED, the request remains UC-SH-03 and is handled through SC-G06 because the verified delivery status materially conflicts with the customer's report of non-receipt."
AC-SH-03-02,SC-G06,UC-SH-03,Shipping,"If a request has been identified as UC-SH-03 and OMS subsequently provides a shipment_status other than DELIVERED, the request remains UC-SH-03 and is handled through SC-G06 when the verified status materially conflicts with the customer-reported shown-as-delivered state. The verified OMS fact and the customer-reported fact are preserved separately."
AC-SH-03-03,SC-G05,UC-SH-03,Shipping,"If a request has been identified as UC-SH-03 and the required OMS lookup completes without a technical error but the required matching record or verified shipment information is unavailable or insufficient, the request remains UC-SH-03 and is handled through SC-G05."
AC-RT-01-01,SC-G08,UC-RT-01,Returns,A general withdrawal or return-rules question that does not refer to a specific purchase is answered using the applicable approved Returns Policy.
AC-RT-02-01,SC-G10,UC-RT-02,Returns,"For an identified purchased item represented in the MVP, if the required verified OMS order or item information and approved Returns Policy information are available and sufficient, the Copilot assigns ANSWER through SC-G10 and combines the verified item information with the standard withdrawal and return rules defined for the modeled MVP product flow."
AC-RT-02-02,SC-G10,UC-RT-02,Returns,"The absence of a product-category, return-eligibility, or withdrawal-exception field in OMS does not by itself trigger SC-G05 for UC-RT-02, because product-specific statutory exception attributes are intentionally outside the MVP data model and all modeled MVP products are treated as belonging to the standard withdrawal-right flow."
AC-RT-02-03,SC-G10,UC-RT-02,Returns,"The Copilot provides standard approved withdrawal and return rules and verified item facts but does not confirm individual statutory eligibility, determine whether a non-modeled statutory exception applies, or make the final legal or business decision for the individual return case."
AC-RT-03-01,SC-G08,UC-RT-03,Returns,"A request asking how to declare a withdrawal or how to return an item is answered with the approved procedure and applicable procedural rules from the Returns Policy unless the customer is submitting an actual declaration or requesting execution of the action, which is handled under UC-RT-04."
AC-RT-04-01,SC-G07,UC-RT-04,Returns,An actual withdrawal declaration or a request to register or perform a withdrawal- or return-related action is handled through SC-G07 after the required verified OMS information and approved Returns Policy information are available and sufficient; the Copilot does not register or execute the action.
AC-RT-05-01,SC-G09,UC-RT-05,Returns,"For an identified order item, the answer provides the verified current return_status available in OMS."
AC-RF-01-01,SC-G08,UC-RF-01,Refund,A general refund-rules or refund-processing question that does not refer to a specific individual case is answered using the applicable approved Refund Policy.
AC-RF-02-01,SC-G10,UC-RF-02,Refund,"For an identified specific purchase or return case, the answer combines the verified OMS case information with the approved Refund Policy rules applicable to that case."
AC-RF-03-01,SC-G09,UC-RF-03,Refund,"For an identified order item, the answer provides the verified current refund_status from OMS and uses approved Refund Policy information only when it is required to explain that status."
AC-RF-03-02,SC-G09,UC-RF-03,Refund,"If the customer reports that the refunded amount is not yet visible in the customer's bank or payment-provider account and OMS shows refund_status = COMPLETED, this fact alone is not treated as a material customer-versus-OMS conflict. The request remains UC-RF-03 and is handled through SC-G09 / ANSWER. The answer reports the verified refund_status and may explain, using the approved Refund Policy, that the time until the refunded amount becomes visible may depend on the bank or payment provider. The Copilot must not invent a date by which the money will become visible. SC-G06 applies only when customer-reported refund information materially conflicts with the verified OMS information."
AC-RF-04-01,SC-G07,UC-RF-04,Refund,"A request to issue, approve, initiate, modify, or otherwise perform a refund is handled through SC-G07 after the required verified OMS information and approved Refund Policy information are available and sufficient; the Copilot does not perform the requested refund action."
